Date,Open,High,Low,Close,Volume
2026-04-16,1033.05,1056.45,1031.55,1047.7,1321938.0
2026-04-17,1050.9,1057.5,1040.15,1054.55,1032427.0
2026-04-20,1054.55,1080.7,1048.2,1067.9,1203100.0
2026-04-21,1071.0,1080.9,1065.25,1077.7,619652.0
2026-04-22,1066.0,1077.6,1044.1,1052.7,2100144.0
2026-04-23,1041.7,1044.95,1014.3,1018.05,2088219.0
2026-04-24,1015.0,1016.3,979.35,984.95,2114591.0
2026-04-27,991.2,1023.5,990.95,1000.9,1333360.0
2026-04-28,1000.6,1014.75,991.45,1004.6,1477347.0
2026-04-29,1011.8,1021.05,986.3,991.65,2058896.0
2026-04-30,991.65,995.0,968.25,972.85,1347139.0
2026-05-04,976.15,991.25,967.65,976.65,724113.0
2026-05-05,977.0,988.6,959.0,963.95,987377.0
2026-05-06,970.05,989.0,962.25,981.4,1896598.0
2026-05-07,988.05,996.0,968.7,981.85,1114882.0
2026-05-08,981.85,988.8,973.3,978.35,1597738.0
2026-05-11,978.35,980.95,956.95,961.2,1864026.0
2026-05-12,958.3,958.3,928.6,930.9,1803634.0
2026-05-13,930.9,940.9,920.2,927.85,2370054.0
2026-05-14,926.05,951.8,921.5,937.75,1119252.0
2026-05-15,938.0,954.9,925.55,928.1,1577568.0
2026-05-18,922.5,934.1,914.8,925.95,3644001.0
2026-05-19,926.0,959.45,926.0,933.65,1411851.0
2026-05-20,926.0,954.0,918.6,942.25,1512310.0
2026-05-21,941.0,951.3,921.5,926.25,2267419.0
2026-05-22,932.0,985.0,920.1,960.95,9364081.0
2026-05-25,964.45,969.35,908.3,938.5,9279351.0
2026-05-26,938.5,987.0,937.1,980.7,4782697.0
2026-05-27,987.05,1014.3,979.25,1005.65,2690729.0
2026-05-29,1027.9,1047.8,982.5,995.0,8551128.0
2026-06-01,1005.0,1018.1,996.85,1004.05,1885527.0
2026-06-02,995.0,1020.6,980.5,1015.7,2238097.0
2026-06-03,1010.1,1020.0,989.4,1006.05,2369632.0
2026-06-04,995.0,1022.35,992.35,1008.85,934260.0
2026-06-05,1018.9,1019.9,985.35,988.45,1456438.0
2026-06-08,977.25,1008.15,972.25,999.2,1328261.0
2026-06-09,1011.85,1011.85,972.4,982.6,915803.0
2026-06-10,982.6,986.95,965.0,971.25,1186017.0
2026-06-11,960.5,970.9,949.05,963.8,878016.0
2026-06-12,970.0,983.9,962.0,972.2,1035001.0
2026-06-15,989.9,1001.4,977.1,982.45,1077227.0
2026-06-16,988.0,1003.95,985.35,997.65,1165372.0
2026-06-17,1016.0,1027.0,1003.25,1017.05,1499058.0
2026-06-18,1029.0,1029.0,994.1,1006.8,1289480.0
2026-06-19,987.85,988.5,955.0,984.25,2539070.0
2026-06-22,985.0,999.6,981.4,984.55,1305758.0
2026-06-23,1010.0,1024.8,993.0,1011.6,4328910.0
2026-06-24,1015.15,1023.5,995.4,1009.8,2053511.0
2026-06-25,1019.5,1019.9,976.3,978.85,4379956.0
2026-06-29,988.75,997.5,983.45,986.8,1396899.0
2026-06-30,993.5,995.95,970.0,978.0,1437793.0
2026-07-01,975.0,998.5,974.6,993.55,1002221.0
2026-07-02,996.95,1044.0,996.95,1026.15,2206568.0
2026-07-03,1038.0,1055.1,1027.25,1034.65,2016558.0
2026-07-06,1034.65,1035.25,1012.8,1025.15,1226901.0
2026-07-07,1032.0,1167.15,1029.0,1159.45,16707549.0
2026-07-08,1172.0,1217.8,1172.0,1179.0,10975945.0
2026-07-09,1173.05,1217.75,1168.35,1201.85,4748967.0
2026-07-10,1215.0,1229.1,1201.1,1204.05,2000844.0
2026-07-13,1191.0,1206.75,1180.3,1191.05,1659497.0
