Date,Open,High,Low,Close,Volume
2026-04-21,7243.0,7296.0,7215.0,7240.5,353002.0
2026-04-22,7215.0,7267.0,7136.5,7230.0,497850.0
2026-04-23,7195.5,7195.5,7062.0,7092.5,481927.0
2026-04-24,7054.5,7160.0,7049.0,7111.5,413746.0
2026-04-27,7150.0,7214.0,7102.0,7174.0,335662.0
2026-04-28,7170.0,7254.0,7053.0,7071.5,560194.0
2026-04-29,7106.0,7294.0,7099.0,7189.5,522596.0
2026-04-30,7120.0,7146.0,6978.0,7109.0,538501.0
2026-05-04,7109.0,7348.5,7070.0,7329.0,684364.0
2026-05-05,7325.0,7345.0,7213.5,7301.5,482491.0
2026-05-06,7370.0,7392.0,7175.5,7310.5,403588.0
2026-05-07,7360.5,7471.5,7310.5,7327.5,606372.0
2026-05-08,7299.5,7370.0,7228.0,7302.5,259522.0
2026-05-11,7269.0,7269.0,7159.0,7202.5,320656.0
2026-05-12,7203.5,7275.5,7105.0,7126.0,364492.0
2026-05-13,7125.0,7157.0,6863.0,6971.5,668271.0
2026-05-14,7000.0,7102.0,6842.5,7034.0,447978.0
2026-05-15,7030.0,7115.5,6975.0,7014.5,313548.0
2026-05-18,6970.0,6974.5,6813.0,6913.0,316357.0
2026-05-19,6936.0,6974.0,6860.0,6882.5,406588.0
2026-05-20,6813.0,6905.0,6752.5,6849.5,455047.0
2026-05-21,6902.0,6945.5,6863.0,6892.0,491206.0
2026-05-22,6925.0,7041.0,6908.5,6981.5,512596.0
2026-05-25,7237.0,7432.0,7215.0,7414.0,1354536.0
2026-05-26,7415.0,7441.0,7355.0,7376.0,388413.0
2026-05-27,7375.0,7429.0,7315.0,7419.0,283327.0
2026-05-29,7350.0,7440.5,7131.5,7177.0,1464680.0
2026-06-01,7177.0,7240.5,7069.5,7100.5,600629.0
2026-06-02,7069.0,7165.0,6950.0,7141.5,452665.0
2026-06-03,7139.5,7178.0,7045.0,7130.0,413545.0
2026-06-04,7105.0,7156.0,7030.5,7110.0,429763.0
2026-06-05,7140.0,7150.0,7029.0,7070.0,422329.0
2026-06-08,6985.0,7094.0,6956.0,7050.0,402793.0
2026-06-09,7137.5,7299.0,7050.0,7203.0,547103.0
2026-06-10,7171.0,7268.0,7155.5,7219.5,480600.0
2026-06-11,7130.0,7227.0,7078.0,7179.5,425248.0
2026-06-12,7282.0,7354.5,7212.0,7312.0,300260.0
2026-06-15,7363.0,7644.5,7280.0,7624.5,784420.0
2026-06-16,7654.0,7666.0,7540.5,7560.5,453796.0
2026-06-17,7560.5,7578.5,7452.5,7509.0,404085.0
2026-06-18,7520.0,7668.0,7520.0,7601.0,485856.0
2026-06-19,7550.0,7658.0,7501.0,7611.0,682982.0
2026-06-22,7650.0,7720.5,7615.0,7639.5,375714.0
2026-06-23,7630.0,7676.0,7557.5,7578.0,365865.0
2026-06-24,7520.0,7646.0,7488.0,7572.0,324328.0
2026-06-25,7620.0,7754.0,7582.0,7598.0,673579.0
2026-06-29,7551.0,7606.5,7375.0,7426.0,2326377.0
2026-06-30,7392.0,7392.5,6942.5,7073.5,2474671.0
2026-07-01,7073.5,7160.0,7053.5,7139.0,590493.0
2026-07-02,7155.0,7270.0,7143.0,7250.0,828736.0
2026-07-03,7380.0,7380.0,7270.5,7339.5,317988.0
2026-07-06,7340.0,7498.0,7284.5,7471.5,300086.0
2026-07-07,7499.0,7603.0,7481.5,7536.0,592213.0
2026-07-08,7415.0,7593.0,7344.5,7418.5,905003.0
2026-07-09,7418.0,7449.5,7321.5,7361.0,625976.0
2026-07-10,7399.5,7455.0,7335.0,7365.5,497082.0
2026-07-13,7325.0,7339.5,7260.0,7296.5,787762.0
2026-07-14,7257.0,7313.0,7140.0,7279.5,458624.0
2026-07-15,7285.0,7428.0,7285.0,7404.5,758954.0
2026-07-16,7410.0,7451.0,7366.5,7418.5,618180.0
