Date,Open,High,Low,Close,Volume
2026-04-07,2461.0,2543.9,2448.0,2539.8,4516550.0
2026-04-08,2572.0,2580.3,2540.1,2559.2,4769337.0
2026-04-09,2554.0,2605.0,2531.1,2589.0,5628261.0
2026-04-10,2565.8,2565.8,2501.1,2524.3,10480239.0
2026-04-13,2489.9,2504.9,2470.0,2472.6,3739587.0
2026-04-15,2501.9,2559.0,2493.4,2554.9,5261384.0
2026-04-16,2572.0,2594.0,2558.0,2576.9,3905403.0
2026-04-17,2570.0,2589.0,2555.9,2581.5,2718206.0
2026-04-20,2587.1,2594.0,2561.2,2579.6,2288558.0
2026-04-21,2560.0,2614.0,2560.0,2610.5,2719959.0
2026-04-22,2580.0,2580.0,2503.6,2538.5,5232045.0
2026-04-23,2529.0,2559.5,2516.3,2521.8,2509050.0
2026-04-24,2488.0,2505.0,2388.8,2396.9,5107719.0
2026-04-27,2396.9,2459.0,2396.9,2447.6,5853425.0
2026-04-28,2444.0,2487.0,2427.4,2444.7,4508363.0
2026-04-29,2451.0,2487.9,2447.6,2474.7,2835961.0
2026-04-30,2479.0,2491.0,2438.0,2473.9,3970446.0
2026-05-04,2494.0,2498.3,2425.0,2431.3,2632358.0
2026-05-05,2430.0,2460.4,2412.2,2427.3,3385720.0
2026-05-06,2441.9,2471.0,2406.5,2435.4,3147628.0
2026-05-07,2438.2,2439.7,2398.0,2401.4,5829594.0
2026-05-08,2398.0,2407.0,2375.1,2394.4,3792199.0
2026-05-11,2371.0,2415.0,2371.0,2392.9,1975188.0
2026-05-12,2375.0,2375.0,2283.0,2300.3,6347884.0
2026-05-13,2306.0,2309.2,2269.0,2272.8,3171843.0
2026-05-14,2265.0,2265.0,2206.4,2246.0,5633313.0
2026-05-15,2252.0,2304.9,2252.0,2264.0,3410637.0
2026-05-18,2264.0,2292.9,2252.2,2283.2,3773336.0
2026-05-19,2300.0,2377.6,2297.1,2327.1,10394707.0
2026-05-20,2323.9,2342.0,2317.8,2327.4,2537422.0
2026-05-21,2331.0,2335.9,2314.0,2327.2,3299087.0
2026-05-22,2331.1,2340.0,2308.1,2317.3,2617262.0
2026-05-25,2325.0,2326.1,2293.0,2308.2,3298364.0
2026-05-26,2308.2,2327.9,2272.4,2276.2,3587597.0
2026-05-27,2275.0,2295.6,2260.9,2284.2,2653950.0
2026-05-29,2291.0,2334.0,2235.0,2258.9,16331582.0
2026-06-01,2284.0,2335.0,2280.0,2297.4,7505095.0
2026-06-02,2320.0,2457.4,2316.2,2446.9,11306127.0
2026-06-03,2393.0,2393.0,2224.8,2241.7,15660062.0
2026-06-04,2241.7,2253.1,2216.6,2241.0,4867263.0
2026-06-05,2262.9,2271.8,2192.0,2198.9,5019717.0
2026-06-08,2170.0,2177.0,2143.3,2151.4,6536734.0
2026-06-09,2174.0,2174.0,2132.8,2151.0,4148655.0
2026-06-10,2151.3,2180.8,2144.8,2153.9,2848650.0
2026-06-11,2127.0,2154.6,2110.0,2135.6,3079815.0
2026-06-12,2150.0,2168.0,2138.0,2161.4,2124656.0
2026-06-15,2192.0,2192.0,2159.3,2162.0,3337083.0
2026-06-16,2167.0,2209.0,2160.6,2199.0,3079898.0
2026-06-17,2209.0,2231.0,2200.7,2223.0,2865010.0
2026-06-18,2209.0,2214.0,2182.0,2203.3,3735188.0
2026-06-19,2105.0,2138.0,2059.9,2125.0,13286502.0
2026-06-22,2132.2,2157.0,2121.0,2127.8,4566101.0
2026-06-23,2111.0,2114.0,2055.0,2059.6,6392736.0
2026-06-24,2061.0,2120.7,2061.0,2109.0,4747277.0
2026-06-25,2133.6,2148.5,2088.0,2094.7,4738903.0
2026-06-29,2090.0,2105.0,2071.0,2097.9,3412470.0
2026-06-30,2090.0,2104.3,2018.8,2031.5,6848411.0
2026-07-01,2039.9,2052.0,1976.8,1982.6,4658295.0
2026-07-02,2008.0,2076.9,2002.5,2068.1,6040621.0
2026-07-03,2100.0,2116.6,2085.0,2093.5,4028819.0
