Date,Open,High,Low,Close,Volume
2026-03-23,466.0,466.0,450.65,455.25,10163783.0
2026-03-24,463.0,463.0,439.0,442.1,20320746.0
2026-03-25,443.55,446.4,438.8,443.7,8630612.0
2026-03-27,446.0,448.5,441.05,445.05,17184280.0
2026-03-30,445.05,459.9,443.1,450.45,19114688.0
2026-04-01,464.0,464.85,446.8,449.4,14960312.0
2026-04-02,448.4,453.3,440.5,449.35,6701003.0
2026-04-06,449.3,461.45,447.4,459.55,12403745.0
2026-04-07,458.05,463.8,455.3,463.0,11316785.0
2026-04-08,464.0,464.0,447.0,449.25,20653569.0
2026-04-09,449.25,456.2,447.85,454.1,9468415.0
2026-04-10,455.0,459.6,427.5,434.1,29605732.0
2026-04-13,435.0,439.5,431.5,435.1,18702296.0
2026-04-15,439.0,439.0,431.4,435.8,10149319.0
2026-04-16,436.5,436.95,430.5,432.75,11776638.0
2026-04-17,432.8,440.15,430.5,438.75,10733309.0
2026-04-20,438.6,443.7,433.3,441.75,8090840.0
2026-04-21,442.3,445.3,441.9,443.15,5336558.0
2026-04-22,443.8,447.75,442.5,444.15,6991939.0
2026-04-23,444.25,451.5,442.65,450.65,8989280.0
2026-04-24,452.75,462.0,451.05,456.0,16441909.0
2026-04-27,458.5,460.65,450.65,452.5,6922067.0
2026-04-28,456.2,473.9,456.2,467.0,26732373.0
2026-04-29,469.85,485.7,464.05,479.9,18063862.0
2026-04-30,484.45,491.25,478.4,481.45,16935052.0
2026-05-04,481.6,487.0,475.6,479.95,7757497.0
2026-05-05,479.95,480.0,471.2,472.6,6946902.0
2026-05-06,473.85,477.5,468.05,470.2,8596697.0
2026-05-07,470.2,472.85,456.1,466.65,24264105.0
2026-05-08,461.2,463.35,454.9,456.4,15767759.0
2026-05-11,456.0,465.75,452.85,464.45,6258261.0
2026-05-12,465.0,469.0,461.65,463.05,6464174.0
2026-05-13,463.25,473.6,459.5,462.25,12091924.0
2026-05-14,464.0,469.8,451.45,454.05,11408675.0
2026-05-15,457.0,468.5,455.25,462.2,7859575.0
2026-05-18,462.0,468.5,457.05,462.1,7735499.0
2026-05-19,462.1,463.25,454.0,456.95,7319865.0
2026-05-20,456.0,460.05,452.7,458.7,3756072.0
2026-05-21,458.7,465.25,457.25,460.2,7425043.0
2026-05-22,460.0,462.85,456.0,456.55,9201635.0
2026-05-25,460.0,462.55,456.0,458.0,8441223.0
2026-05-26,458.0,475.65,455.0,458.15,17073323.0
2026-05-27,429.0,468.3,428.4,463.05,117042535.0
2026-05-29,458.9,474.0,455.9,457.9,97895486.0
2026-06-01,456.55,477.0,456.55,472.6,47716517.0
2026-06-02,469.85,474.95,463.3,472.15,24933269.0
2026-06-03,471.9,478.55,466.2,472.3,15291450.0
2026-06-04,473.0,484.45,472.85,481.65,16059802.0
2026-06-05,483.3,483.6,469.1,472.3,9592529.0
2026-06-08,465.0,470.6,463.95,464.9,10074583.0
2026-06-09,464.9,467.55,458.4,466.9,10972434.0
2026-06-10,465.2,467.4,450.2,451.0,8127902.0
2026-06-11,451.0,452.0,445.05,446.2,6034733.0
2026-06-12,453.35,453.35,439.65,443.5,9946830.0
2026-06-15,448.3,449.6,441.2,444.05,10056872.0
2026-06-16,445.95,453.45,443.6,450.95,7262608.0
2026-06-17,450.9,461.55,448.6,455.75,9064734.0
