Date,Open,High,Low,Close,Volume
2026-03-23,3110.0,3110.0,2937.0,2988.3,524215.0
2026-03-24,3069.9,3070.0,2980.0,3001.8,563273.0
2026-03-25,3015.0,3127.0,3015.0,3101.3,366090.0
2026-03-27,3096.0,3105.0,3010.0,3048.9,499098.0
2026-03-30,2997.6,3020.3,2923.1,2935.0,480280.0
2026-04-01,3010.0,3072.3,2985.7,3017.0,276980.0
2026-04-02,2970.0,3045.0,2906.0,3026.6,265901.0
2026-04-06,3041.4,3065.9,2965.1,3048.0,372908.0
2026-04-07,3053.4,3084.0,2992.8,3075.5,184684.0
2026-04-08,3180.0,3245.6,3147.0,3226.1,398432.0
2026-04-09,3230.9,3255.0,3181.0,3222.5,279120.0
2026-04-10,3234.4,3402.4,3232.0,3388.5,625209.0
2026-04-13,3340.0,3375.5,3275.5,3343.5,329882.0
2026-04-15,3400.0,3590.0,3365.6,3576.1,2134727.0
2026-04-16,3600.0,3619.3,3532.8,3563.8,1020682.0
2026-04-17,3589.0,3718.9,3565.0,3707.9,1034058.0
2026-04-20,3702.0,3778.5,3659.5,3709.0,659226.0
2026-04-21,3726.0,3787.0,3701.0,3721.7,371076.0
2026-04-22,3709.0,3885.0,3706.6,3844.3,882278.0
2026-04-23,3849.0,3901.0,3811.5,3864.4,663008.0
2026-04-24,3882.0,3893.6,3767.9,3808.9,315661.0
2026-04-27,3830.5,3881.0,3797.0,3856.0,309453.0
2026-04-28,3856.0,3892.0,3805.5,3827.3,267852.0
2026-04-29,3850.0,3870.0,3765.6,3776.8,204618.0
2026-04-30,3790.0,3847.6,3734.5,3808.2,474246.0
2026-05-04,3850.0,3930.0,3820.0,3834.1,813487.0
2026-05-05,3851.2,3866.5,3809.5,3846.6,253569.0
2026-05-06,3880.0,3885.0,3783.0,3841.8,330665.0
2026-05-07,3860.0,3895.5,3792.9,3871.5,315030.0
2026-05-08,3871.6,3906.9,3786.0,3822.6,366353.0
2026-05-11,3720.0,3720.0,3552.9,3605.6,996964.0
2026-05-12,3605.0,3644.8,3555.8,3574.4,385531.0
2026-05-13,3574.4,3628.5,3518.2,3532.2,396807.0
2026-05-14,3574.0,3712.0,3469.0,3693.8,788580.0
2026-05-15,3724.5,3724.5,3575.0,3587.9,284206.0
2026-05-18,3572.0,3572.0,3454.5,3535.1,305148.0
2026-05-19,3540.0,3593.9,3518.8,3550.9,213583.0
2026-05-20,3524.0,3705.0,3493.1,3696.4,507079.0
2026-05-21,3739.0,3780.0,3710.8,3720.6,346583.0
2026-05-22,3720.6,3834.0,3714.0,3811.7,534453.0
2026-05-25,3836.4,3878.5,3658.0,3667.5,471211.0
2026-05-26,3685.8,3697.9,3620.0,3677.2,713402.0
2026-05-27,3569.7,3909.9,3543.3,3878.7,1738785.0
2026-05-29,3859.7,3937.3,3744.6,3844.0,2024437.0
2026-06-01,3850.0,3856.7,3681.7,3711.3,526590.0
2026-06-02,3712.7,3756.9,3639.6,3729.7,628712.0
2026-06-03,3728.1,3755.0,3665.0,3709.6,464320.0
2026-06-04,3719.0,3765.0,3679.1,3686.9,341821.0
2026-06-05,3695.0,3724.9,3647.1,3700.8,343897.0
2026-06-08,3620.0,3675.0,3568.1,3624.0,449233.0
2026-06-09,3623.9,3630.0,3573.1,3619.8,323100.0
2026-06-10,3634.0,3635.7,3555.1,3582.7,600841.0
2026-06-11,3555.8,3586.0,3501.0,3522.0,249193.0
2026-06-12,3590.0,3599.7,3518.0,3569.6,223315.0
2026-06-15,3630.0,3650.0,3582.7,3601.8,367596.0
2026-06-16,3611.0,3669.0,3604.4,3636.9,325257.0
2026-06-17,3661.0,3737.8,3626.0,3725.4,401570.0
2026-06-18,3735.0,3755.0,3686.4,3746.2,342772.0
2026-06-19,3744.5,3776.1,3710.5,3759.6,339876.0
