Date,Open,High,Low,Close,Volume
2026-04-15,447.5,449.2,444.8,447.65,9915383.0
2026-04-16,449.85,457.0,448.9,455.65,12197884.0
2026-04-17,458.0,463.75,454.45,462.75,14128030.0
2026-04-20,462.0,464.4,456.0,457.55,9914017.0
2026-04-21,457.5,461.8,449.45,451.5,13492130.0
2026-04-22,450.8,451.85,444.7,448.7,11538028.0
2026-04-23,451.7,455.7,444.5,449.95,15021500.0
2026-04-24,450.0,451.2,438.75,444.45,11651499.0
2026-04-27,445.0,448.3,432.95,435.6,18502535.0
2026-04-28,435.6,441.0,433.55,435.75,10883746.0
2026-04-29,437.05,442.8,435.25,437.55,9507163.0
2026-04-30,436.45,436.45,424.5,431.3,15795581.0
2026-05-04,433.0,438.6,428.6,433.55,10764998.0
2026-05-05,433.5,436.5,429.3,433.35,11671943.0
2026-05-06,437.0,439.65,435.15,438.2,9748728.0
2026-05-07,439.9,441.0,433.5,439.45,15696400.0
2026-05-08,439.0,443.8,437.8,439.7,11164661.0
2026-05-11,438.0,439.15,431.0,431.95,7631226.0
2026-05-12,430.2,432.5,415.5,416.5,15199825.0
2026-05-13,416.6,432.0,415.75,428.25,13230827.0
2026-05-14,431.0,435.15,424.45,428.85,9807792.0
2026-05-15,428.85,429.5,422.2,423.65,7593616.0
2026-05-18,423.85,427.8,414.6,426.6,10452161.0
2026-05-19,428.4,430.9,419.3,422.95,13350029.0
2026-05-20,416.3,420.0,407.0,413.3,28012723.0
2026-05-21,420.0,426.1,418.05,420.4,19789651.0
2026-05-22,421.45,421.45,415.45,416.55,9175611.0
2026-05-25,419.3,422.55,417.3,421.85,8862027.0
2026-05-26,423.5,425.55,418.85,420.1,12315435.0
2026-05-27,422.0,422.0,416.1,419.1,10871894.0
2026-05-29,413.3,419.1,409.9,410.75,26559872.0
2026-06-01,412.35,413.7,404.75,407.2,16453240.0
2026-06-02,405.8,409.6,400.3,407.85,15004796.0
2026-06-03,408.0,408.95,403.1,406.6,6626958.0
2026-06-04,405.0,411.55,404.0,409.9,9119774.0
2026-06-05,410.1,412.0,405.1,408.2,11084641.0
2026-06-08,399.0,415.5,399.0,412.95,12017495.0
2026-06-09,417.0,417.0,410.0,412.05,10996007.0
2026-06-10,413.0,415.25,407.1,408.35,5371511.0
2026-06-11,407.35,407.35,401.75,402.3,6994969.0
2026-06-12,407.35,409.0,403.3,406.5,8086130.0
2026-06-15,412.0,412.5,406.0,409.55,11500111.0
2026-06-16,409.6,410.8,406.15,407.55,9701695.0
2026-06-17,407.0,422.4,406.15,419.85,24506595.0
2026-06-18,422.5,430.0,421.75,428.6,23598062.0
2026-06-19,427.9,431.6,424.55,426.9,10829044.0
2026-06-22,428.1,432.7,426.15,431.5,9754708.0
2026-06-23,435.0,435.0,418.5,420.0,15566093.0
2026-06-24,420.2,422.55,412.8,413.55,9620759.0
2026-06-25,413.6,415.05,406.0,407.2,21994027.0
2026-06-29,406.8,418.3,403.55,411.6,26669735.0
2026-06-30,413.5,414.45,408.5,411.8,14611849.0
2026-07-01,413.0,417.65,411.4,416.25,8844076.0
2026-07-02,416.25,418.3,412.3,415.05,10736747.0
2026-07-03,418.6,424.5,417.1,418.05,12085695.0
2026-07-06,422.0,429.9,420.1,425.55,16516762.0
2026-07-07,425.55,425.9,416.0,419.15,7821978.0
2026-07-08,416.5,417.8,406.0,407.6,12837834.0
2026-07-09,409.15,411.0,404.05,406.2,10893635.0
2026-07-10,408.4,415.45,408.2,414.85,9273712.0
