Date,Open,High,Low,Close,Volume
2026-04-21,103.02,104.09,102.96,103.61,9274364.0
2026-04-22,103.11,106.66,102.99,105.82,21953698.0
2026-04-23,106.0,108.38,104.55,105.06,41805252.0
2026-04-24,105.05,105.78,103.01,103.92,14644667.0
2026-04-27,104.75,106.22,104.41,105.57,13917554.0
2026-04-28,105.58,106.75,104.78,105.14,13405170.0
2026-04-29,105.51,106.0,104.77,105.08,9523095.0
2026-04-30,105.05,105.07,103.1,104.21,8356443.0
2026-05-04,104.8,105.66,103.32,104.41,10793514.0
2026-05-05,104.41,106.64,104.0,105.82,20280569.0
2026-05-06,106.46,106.95,105.0,106.74,12144328.0
2026-05-07,107.27,107.66,106.31,106.77,11251343.0
2026-05-08,106.67,106.9,105.65,106.03,6764649.0
2026-05-11,105.15,105.15,102.8,103.08,8606056.0
2026-05-12,102.46,103.05,99.17,99.36,10677665.0
2026-05-13,99.5,101.97,99.5,101.48,11227661.0
2026-05-14,102.29,103.63,99.58,100.19,18308366.0
2026-05-15,100.58,100.93,98.5,98.86,13415868.0
2026-05-18,98.0,98.02,95.17,97.66,13047543.0
2026-05-19,98.0,98.48,96.9,97.22,8673912.0
2026-05-20,96.2,97.3,95.65,97.13,6536277.0
2026-05-21,98.0,98.53,97.56,98.17,8098653.0
2026-05-22,98.17,98.41,97.4,98.19,6016639.0
2026-05-25,99.0,101.08,98.99,100.45,13515986.0
2026-05-26,100.5,100.83,99.0,99.28,8488045.0
2026-05-27,99.2,99.94,98.83,99.19,6755352.0
2026-05-29,99.24,100.14,97.02,97.51,9652408.0
2026-06-01,98.2,98.4,96.1,96.27,7942957.0
2026-06-02,95.7,97.0,94.55,96.67,7592689.0
2026-06-03,96.67,96.72,94.64,95.75,9801364.0
2026-06-04,95.24,96.65,95.2,96.06,6298168.0
2026-06-05,96.5,97.68,95.8,96.47,8112711.0
2026-06-08,95.87,95.87,94.34,94.7,6307285.0
2026-06-09,95.21,96.2,95.0,96.01,6794999.0
2026-06-10,97.0,98.0,94.5,94.8,14178158.0
2026-06-11,94.29,94.3,92.67,93.33,9304606.0
2026-06-12,94.43,96.1,93.91,95.89,9874699.0
2026-06-15,97.42,98.8,96.85,97.08,10848353.0
2026-06-16,97.75,98.25,97.05,97.63,6900639.0
2026-06-17,97.89,100.97,97.51,100.44,19849822.0
2026-06-18,100.52,100.8,99.41,100.13,10858323.0
2026-06-19,99.01,100.8,98.84,99.51,13152144.0
2026-06-22,99.85,101.2,99.85,100.9,10258970.0
2026-06-23,100.9,101.0,98.2,98.67,9887408.0
2026-06-24,94.0,94.75,91.91,92.5,80616106.0
2026-06-25,91.01,92.25,91.01,91.77,50633854.0
2026-06-29,91.8,92.19,90.35,90.61,19510430.0
2026-06-30,90.95,91.4,90.19,90.53,21360621.0
2026-07-01,90.98,91.92,90.45,91.18,13666959.0
2026-07-02,91.6,91.89,90.45,90.83,11833722.0
2026-07-03,91.4,91.59,90.3,90.57,11864556.0
2026-07-06,90.5,90.54,89.6,90.24,7950908.0
2026-07-07,90.61,90.61,89.65,89.92,6905670.0
2026-07-08,89.49,89.49,86.93,87.5,14036436.0
2026-07-09,87.71,88.58,87.55,88.12,6991080.0
2026-07-10,88.41,90.0,88.31,89.9,9078755.0
2026-07-13,89.9,89.9,88.72,89.75,6101114.0
2026-07-14,89.5,89.6,88.51,88.71,6693634.0
2026-07-15,88.8,90.0,88.6,88.87,7302377.0
2026-07-16,88.87,89.36,88.25,88.41,6202992.0
