Date,Open,High,Low,Close,Volume
2026-04-16,2745.9,2755.3,2696.0,2717.3,803379.0
2026-04-17,2720.0,2736.6,2692.3,2720.5,427517.0
2026-04-20,2730.5,2771.9,2697.3,2760.1,702964.0
2026-04-21,2772.0,2792.0,2755.0,2777.7,686149.0
2026-04-22,2774.4,2810.0,2755.6,2776.6,924150.0
2026-04-23,2762.3,2768.4,2727.0,2735.0,859207.0
2026-04-24,2760.7,2768.9,2732.1,2739.3,1109759.0
2026-04-27,2766.0,2810.9,2752.2,2778.2,986204.0
2026-04-28,2780.0,2848.2,2772.0,2783.0,1561588.0
2026-04-29,2798.0,2838.6,2777.0,2803.2,976666.0
2026-04-30,2783.0,2801.4,2727.0,2794.5,1130223.0
2026-05-04,2805.0,2865.8,2805.0,2856.0,977675.0
2026-05-05,2831.0,2879.9,2823.6,2871.5,947423.0
2026-05-06,2885.5,2923.3,2872.3,2914.8,362970.0
2026-05-07,2902.3,2975.0,2900.0,2960.6,603383.0
2026-05-08,2960.6,2980.4,2932.1,2968.6,505248.0
2026-05-11,2954.1,3007.3,2928.0,2984.2,567800.0
2026-05-12,2980.0,2984.2,2893.7,2903.0,467500.0
2026-05-13,2910.3,2969.3,2910.0,2945.6,1332833.0
2026-05-14,2955.0,2983.3,2933.1,2938.7,1652596.0
2026-05-15,2938.9,2968.4,2924.3,2933.8,1586864.0
2026-05-18,2906.0,2955.5,2885.2,2943.8,800447.0
2026-05-19,2955.0,2970.0,2919.9,2935.2,637116.0
2026-05-20,2908.2,2988.0,2880.6,2971.1,1306216.0
2026-05-21,3060.7,3180.0,3021.0,3154.5,4417489.0
2026-05-22,3178.0,3187.6,3142.0,3155.3,906466.0
2026-05-25,3180.0,3192.3,3128.1,3171.6,620009.0
2026-05-26,3168.4,3196.2,3155.0,3165.0,984415.0
2026-05-27,3158.0,3197.5,3158.0,3170.0,317539.0
2026-05-29,3175.0,3190.3,3111.4,3122.4,1635193.0
2026-06-01,3151.4,3158.0,3084.3,3102.6,644142.0
2026-06-02,3076.0,3104.3,3061.0,3097.6,461140.0
2026-06-03,3099.0,3114.9,3060.0,3101.6,460368.0
2026-06-04,3100.1,3138.8,3085.8,3103.5,957529.0
2026-06-05,3109.0,3124.6,3066.2,3087.7,697168.0
2026-06-08,3060.0,3099.9,3034.9,3050.1,687274.0
2026-06-09,3070.2,3109.5,3067.8,3095.5,923351.0
2026-06-10,3090.0,3132.0,3065.5,3071.2,792811.0
2026-06-11,3058.0,3109.0,3045.8,3089.5,613443.0
2026-06-12,3120.0,3120.0,3075.0,3105.5,536817.0
2026-06-15,3168.0,3175.0,3131.0,3164.5,1033542.0
2026-06-16,3180.0,3183.0,3133.8,3140.3,308307.0
2026-06-17,3150.0,3200.0,3115.9,3150.4,395269.0
2026-06-18,3158.5,3168.9,3109.2,3145.1,667101.0
2026-06-19,3135.1,3167.0,3130.0,3149.5,534084.0
2026-06-22,3157.1,3180.1,3128.2,3175.2,368611.0
2026-06-23,3185.0,3186.0,3126.1,3144.3,705875.0
2026-06-24,3135.0,3142.7,3097.0,3127.9,706788.0
2026-06-25,3131.9,3156.0,3115.1,3126.6,785517.0
2026-06-29,3145.0,3145.0,3072.3,3080.2,1286143.0
2026-06-30,3085.0,3128.9,3080.5,3100.0,868872.0
2026-07-01,3115.0,3145.0,3083.5,3140.4,490262.0
2026-07-02,3153.0,3173.9,3134.4,3169.2,449711.0
2026-07-03,3180.0,3219.3,3165.0,3180.9,425942.0
2026-07-06,3182.2,3218.0,3172.0,3213.0,386276.0
2026-07-07,3201.0,3222.0,3172.9,3190.9,571660.0
2026-07-08,3174.0,3188.8,3121.4,3134.8,477890.0
2026-07-09,3139.0,3222.0,3136.3,3191.9,936756.0
2026-07-10,3204.8,3246.0,3202.0,3213.6,515666.0
2026-07-13,3202.4,3216.3,3125.2,3144.3,654390.0
